2025-09-29 03:10:54 | INFO | root | === curriculum 서비스 시작 ===
2025-09-29 03:11:58 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:11:59 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:11:59 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:00 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:01 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:01 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:01 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:02 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:03 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:03 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:04 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:04 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:04 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:05 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:05 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:06 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:06 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:07 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:07 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:08 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:08 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:09 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:09 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:10 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:10 | INFO | service.curriculumService | ✅ Retriever 초기화 완료
2025-09-29 03:12:31 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-09-29 03:12:31 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:12:31 | INFO | service.curriculumService | Visited nodes total: 0
2025-09-29 03:12:31 | INFO | service.curriculumService | 현재과목: 반도체소자
2025-09-29 03:12:31 | ERROR | service.curriculumService | ❌ 쿼리 처리 실패: 'DbClient' object has no attribute 'fetch_prerequisites'
2025-09-29 03:12:31 | ERROR | controller.curriculumController | ❌ API 요청 처리 오류: 'DbClient' object has no attribute 'fetch_prerequisites'
2025-09-29 03:15:00 | INFO | root | === curriculum 서비스 시작 ===
2025-09-29 03:15:00 | INFO | root | 공통 로그 파일: ./logs/curriculum.log
2025-09-29 03:15:00 | INFO | root | Curriculum 전용 로그 파일: ./curriculum.log
2025-09-29 03:15:31 | INFO | root | === curriculum 서비스 시작 ===
2025-09-29 03:15:31 | INFO | root | 공통 로그 파일: ./logs/curriculum.log
2025-09-29 03:15:31 | INFO | root | Curriculum 전용 로그 파일: ./curriculum.log
2025-09-29 03:15:56 | INFO | controller.curriculumController | 📨 API 요청 수신: '반도체와 컴퓨터인공지능을 결합한 융합 커리큘럼을 생성해줘

[확장정보] 배경정보: Looking to create an integrated curriculum combining s...' (요구 과목 수: 30)
2025-09-29 03:15:56 | INFO | service.curriculumService | 쿼리 처리 시작: 반도체와 컴퓨터인공지능을 결합한 융합 커리큘럼을 생성해줘

[확장정보] 배경정보: Look...
2025-09-29 03:15:56 | INFO | service.curriculumService | 📚 Retriever 초기화 시작
2025-09-29 03:15:56 | INFO | service.curriculumService | ✅ Retriever 초기화 완료
2025-09-29 03:16:15 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
2025-09-29 03:16:17 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/embeddings "HTTP/1.1 200 OK"
2025-09-29 03:16:17 | INFO | service.curriculumService | Visited nodes total: 0
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 인공지능
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공학개론
2025-09-29 03:16:17 | INFO | service.curriculumService | Visited nodes total: 2
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 인공지능
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공학개론
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 1
2025-09-29 03:16:17 | INFO | service.curriculumService | Visited nodes total: 4
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 인공지능
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 아날로그집적회로설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공학개론
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 1
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 2
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | Visited nodes total: 6
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 인공지능
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 아날로그집적회로설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 디지털논리공학
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공학개론
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 1
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 2
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | Visited nodes total: 8
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 인공지능
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 아날로그집적회로설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 디지털논리공학
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 시스템및메모리반도체
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공학개론
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 1
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 2
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공정
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | Visited nodes total: 10
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 인공지능
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 아날로그집적회로설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 디지털논리공학
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 시스템및메모리반도체
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 딥러닝
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공학개론
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 1
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 2
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공정
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체연구특론 1
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | Visited nodes total: 12
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 인공지능
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 아날로그집적회로설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 디지털논리공학
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 시스템및메모리반도체
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 딥러닝
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 알고리즘
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공학개론
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 1
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 응용수학 2
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자설계
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체공정
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체연구특론 1
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체연구특론 2
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | Visited nodes total: 14
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 인공지능
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 반도체소자
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: [{'class_id': 'class_id', 'class_name': 'class_name', 'student_grade': 'student_grade', 'semester': 'semester', 'description': 'description', 'language': 'language', 'prerequisite': 'prerequisite', 'department_name': 'department_name', 'college_name': 'college_name'}]
2025-09-29 03:16:17 | INFO | service.curriculumService | 선행과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: class_name
2025-09-29 03:16:17 | INFO | service.curriculumService | fetcehd prerequisites: []
2025-09-29 03:16:17 | INFO | service.curriculumService | 현재과목: 아날로그집적회로설계
